Date,T°C (12-15h),T°C poulailler,Pluie (0 = non renseigné),Météo,commentaires,Nom de la poule,Ponte,Etat de l'oeuf,Evènement,Nombre d'oeufs
29/07/2023,29,24,0,beau,,Rémiel,,no egg,RAS,0
30/07/2023,31,25,0,beau/orage,,Rémiel,,no egg,RAS,0
31/07/2023,22,23,12,pluie/couvert,,Rémiel,,no egg,RAS,0
01/08/2023,27,21,0,beau,découverte de poux rouges/retour dans l'ancien poulailler/T°p=T°ext,Rémiel,,no egg,RAS,0
02/08/2023,24,24,0,couvert/vent,"retour dans le poulailler ""terrasse""",Rémiel,,no egg,RAS,0
03/08/2023,28,24,3,beau/couvert/pluie,traitement exzolt,Rémiel,,no egg,RAS,0
04/08/2023,17,,0,bruine/éclaircies,,Rémiel,x(cassé),cassé,RAS,1
05/08/2023,18,18,13,giboulées,1 œuf cassé et 1 œuf mou/retour ancien poulailler,Rémiel,,no egg,RAS,0
06/08/2023,22,20,0,éclaircies,,Rémiel,,no egg,RAS,0
07/08/2023,23,20,1,Bruine/éclaircies/vent,,Rémiel,x(cassé),cassé,RAS,1
08/08/2023,23,,0,beau,0 œuf,Rémiel,,no egg,RAS,0
09/08/2023,28,20,0,beau,0 oeuf/T°C poulailler à 22-23h,Rémiel,,no egg,RAS,0
10/08/2023,30,21,0,beau,traitement exzolt,Rémiel,,no egg,RAS,0
11/08/2023,30,25,0,beau,avhydratC+Gascodrène,Rémiel,,no egg,RAS,0
12/08/2023,33,21,0,Brumeux/beau,avhydratC+Gascodrène,Rémiel,,no egg,RAS,0
13/08/2023,32,23,0,beau,avhydratC+Gascodrène,Rémiel,,no egg,RAS,0
14/08/2023,30,26,0,voilé,avhydratC+Gascodrène,Rémiel,,no egg,RAS,0
15/08/2023,32,26,0,beau/vent,avhydratC+Gascodrène,Rémiel,,no egg,RAS,0
16/08/2023,26,23,"0,5",pluie fine/couvert,,Rémiel,,no egg,RAS,0
17/08/2023,25,23,0,couvert,,Rémiel,,no egg,RAS,0
18/08/2023,32,26,0,bruine le matin,avhydrat C+gascodrène,Rémiel,x(cassé),cassé,RAS,1
19/08/2023,32,26,0,voilé/vent,avhydratC+Gascodrène,Rémiel,,no egg,RAS,0
20/08/2023,34,26,0,vigilance canicule,avhydratC+Gascodrène,Rémiel,,no egg,RAS,0
21/08/2023,37,29,0,canicule,avhydratC+Gascodrène,Rémiel,x(cassé),cassé,RAS,1
22/08/2023,34,26,0,canicule,idem,Rémiel,,no egg,RAS,0
23/08/2023,36,27,0,canicule,C+Gasco/ nuit tropicale 27°c/ 73% H à 22h40,Rémiel,,no egg,RAS,0
24/08/2023,40,28,0,canicule,C+Gasco,Rémiel,,no egg,RAS,0
25/08/2023,"40,5",28,0,canicule,c+Gasco,Rémiel,,no egg,RAS,0
26/08/2023,23,20,3,pluie/couvert,,Rémiel,x,RAS,RAS,1
27/08/2023,19,17,8,pluie,,Rémiel,,no egg,RAS,0
28/08/2023,16,14,37,pluie/éclaircies,,Rémiel,,no egg,RAS,0
29/08/2023,17,16,5,pluie/éclaircies,,Rémiel,x,RAS,RAS,1
30/08/2023,20,15,0,éclaircies/vent,,Rémiel,,no egg,RAS,0
31/08/2023,22,16,1,éclaircies/averses,,Rémiel,,no egg,RAS,0
01/09/2023,28,17,0,beau,,Rémiel,,no egg,RAS,0
02/09/2023,31,20,0,beau,,Rémiel,,no egg,RAS,0
03/09/2023,22,18,0,couvert,trouvé un oeuf minuscule Saquiel ou Albertine,Rémiel,,no egg,RAS,0
04/09/2023,26,21,0,beau/voilé,,Rémiel,,no egg,RAS,0
05/09/2023,28,22,0,voilé/vent,sable du Sahara dans l'air,Rémiel,x,RAS,RAS,1
06/09/2023,29,21,0,voilé,sable du Sahara dans l'air,Rémiel,,no egg,RAS,0
07/09/2023,27,23,0,voilé,sable du Sahara dans l'air,Rémiel,,no egg,RAS,0
08/09/2023,30,20,0,beau,,Rémiel,,no egg,RAS,0
09/09/2023,29,21,0,beau,,Rémiel,,no egg,RAS,0
10/09/2023,30,22,0,beau,,Rémiel,,no egg,RAS,0
11/09/2023,30,20,0,beau,,Rémiel,,no egg,RAS,0
12/09/2023,30,20,0,couvert/éclaircies,,Rémiel,,no egg,RAS,0
13/09/2023,24,17,22,mitigé/orages,,Rémiel,,no egg,RAS,0
14/09/2023,25,17,0,éclaircies,,Rémiel,,no egg,RAS,0
15/09/2023,28,18,0,beau,,Rémiel,,no egg,RAS,0
16/09/2023,28,17,3,beau/orageux/pluie,,Rémiel,,no egg,RAS,0
17/09/2023,28,21,0,beau,,Rémiel,,no egg,RAS,0
18/09/2023,25,19,3,beau/orages,,Rémiel,,no egg,RAS,0
19/09/2023,26,17,6,beau/orages,,Rémiel,,no egg,RAS,0
20/09/2023,25,15,0,beau,,Rémiel,,no egg,RAS,0
21/09/2023,27,18,0,couvert/beau,,Rémiel,x,RAS,RAS,1
22/09/2023,20,14,9,couvert/pluie,,Rémiel,,no egg,RAS,0
23/09/2023,20,12,0,éclaircies/vent,,Rémiel,,no egg,RAS,0
24/09/2023,23,13,0,éclaircies,,Rémiel,,no egg,RAS,0
25/09/2023,24,15,0,beau,,Rémiel,x,RAS,RAS,1
26/09/2023,27,15,0,beau,,Rémiel,,no egg,RAS,0
27/09/2023,28,16,0,beau,,Rémiel,,no egg,RAS,0
28/09/2023,30,19,0,beau,,Rémiel,x(cassé),cassé,RAS,1
29/09/2023,31,20,0,beau,,Rémiel,,no egg,RAS,0
30/09/2023,30,20,0,beau,,Rémiel,,no egg,RAS,0
01/10/2023,30,19,0,beau,,Rémiel,,no egg,RAS,0
02/10/2023,32,20,0,beau,,Rémiel,,no egg,RAS,0
03/10/2023,31,20,0,beau/vent,,Rémiel,,no egg,RAS,0
04/10/2023,22,19,0,couvert,,Rémiel,,no egg,RAS,0
05/10/2023,28,16,0,nuageux,,Rémiel,x(cassé),cassé,RAS,1
06/10/2023,28,16,0,beau,,Rémiel,,no egg,RAS,0
07/10/2023,28,17,0,beau,,Rémiel,,no egg,RAS,0
08/10/2023,30,15,0,beau,,Rémiel,,no egg,RAS,0
09/10/2023,29,17,0,beau,,Rémiel,,no egg,RAS,0
10/10/2023,29,16,0,beau,,Rémiel,,no egg,RAS,0
11/10/2023,30,18,0,beau,,Rémiel,,no egg,RAS,0
12/10/2023,31,17,0,beau,,Rémiel,,no egg,RAS,0
13/10/2023,30,18,0,beau,,Rémiel,,no egg,RAS,0
14/10/2023,29,18,0,beau,,Rémiel,,no egg,RAS,0
15/10/2023,24,16,5,couvert/pluie,,Rémiel,,no egg,RAS,0
16/10/2023,19,11,0,éclaircies,,Rémiel,,no egg,RAS,0
17/10/2023,19,15,0,éclaircies,,Rémiel,,no egg,RAS,0
18/10/2023,26,17,0,beau/vent,,Rémiel,,no egg,RAS,0
19/10/2023,26,17,3,couvert/pluie,,Rémiel,,no egg,RAS,0
20/10/2023,25,17,13,couvert/pluie,,Rémiel,,no egg,RAS,0
21/10/2023,20,14,3,éclaircies/pluie,,Rémiel,,no egg,RAS,0
22/10/2023,19,11,0,beau,,Rémiel,,no egg,RAS,0
23/10/2023,15,13,0,maussade,,Rémiel,,no egg,RAS,0
24/10/2023,20,14,0,éclaircies,Albertine malade/rhume,Rémiel,,no egg,RAS,0
25/10/2023,20,11,0,pluie/éclaircies,avicoryl,Rémiel,,no egg,RAS,0
26/10/2023,18,15,1,couvert/pluie,,Rémiel,mue,no egg,mue,0
27/10/2023,15,13,8,couvert/pluie,,Rémiel,,no egg,RAS,0
28/10/2023,18,10,0,beau,,Rémiel,,no egg,RAS,0
29/10/2023,19,14,0,beau,,Rémiel,,no egg,RAS,0
30/10/2023,17,14,0,couvert,,Rémiel,,no egg,RAS,0
31/10/2023,15,10,9,couvert/pluie,,Rémiel,,no egg,RAS,0
01/11/2023,19,10,0,beau,,Rémiel,,no egg,RAS,0
02/11/2023,19,10,5,éclaircies/pluie,,Rémiel,,no egg,RAS,0
03/11/2023,13,8,17,pluie,,Rémiel,,no egg,RAS,0
04/11/2023,10,9,5,pluie,,Rémiel,,no egg,RAS,0
05/11/2023,13,9,6,pluie/éclaircies,,Rémiel,,no egg,RAS,0
06/11/2023,19,9,0,beau,,Rémiel,,no egg,RAS,0
07/11/2023,12,8,8,averses/pluie,,Rémiel,,no egg,RAS,0
08/11/2023,17,5,0,beau,,Rémiel,,no egg,RAS,0
09/11/2023,19,6,0,beau,petite gelée matinale,Rémiel,,no egg,RAS,0
10/11/2023,13,9,6,pluie/beau,,Rémiel,,no egg,RAS,0
11/11/2023,11,9,7,pluie/éclaircies,,Rémiel,,no egg,RAS,0
12/11/2023,12,12,0,pluie,,Rémiel,,no egg,RAS,0
13/11/2023,17,11,0,couvert/éclaircies,,Rémiel,,no egg,RAS,0
14/11/2023,24,12,0,beau,,Rémiel,,no egg,RAS,0
15/11/2023,24,14,5,beau/pluie,,Rémiel,,no egg,RAS,0
16/11/2023,16,10,5,pluie/éclaircies,,Rémiel,,no egg,RAS,0
17/11/2023,16,12,2,couvert/pluie,,Rémiel,,no egg,RAS,0
18/11/2023,15,9,0,éclaircies,,Rémiel,,no egg,RAS,0
19/11/2023,oubli,oubli,0,beau,environ 20°C,Rémiel,,no egg,RAS,0
20/11/2023,21,10,0,beau,,Rémiel,,no egg,RAS,0
21/11/2023,14,9,9,couvert/pluie,,Rémiel,,no egg,RAS,0
22/11/2023,9,oubli,10,pluie,,Rémiel,,no egg,RAS,0
23/11/2023,9,7,3,pluie/éclaircies/vent,,Rémiel,,no egg,RAS,0
24/11/2023,11,5,0,beau/vent,,Rémiel,,no egg,RAS,0
25/11/2023,7,7,0,gris/vent,,Rémiel,,no egg,RAS,0
26/11/2023,9,4,0,gris ,,Rémiel,,no egg,RAS,0
27/11/2023,12,0,0,beau,belle gelée matinale -3°c,Rémiel,,no egg,RAS,0
28/11/2023,13,10,27,éclaircies/pluie/vent,,Rémiel,,no egg,RAS,0
29/11/2023,9,7,0,éclaircies,,Rémiel,,no egg,RAS,0
30/11/2023,16,9,0,éclaircies,,Rémiel,,no egg,RAS,0
01/12/2023,11,8,6,bruine/pluie,,Rémiel,,no egg,RAS,0
02/12/2023,8,5,14,pluie,,Rémiel,,no egg,RAS,0
03/12/2023,6,4,2,pluie/éclaircies,,Rémiel,,no egg,RAS,0
04/12/2023,11,3,0,beau,gelée matinale,Rémiel,,no egg,RAS,0
05/12/2023,12,7,"0,5",éclaircies/pluie,,Rémiel,,no egg,RAS,0
06/12/2023,9,6,0,éclaircies/vent,,Rémiel,,no egg,RAS,0
07/12/2023,10,2,0,beau,,Rémiel,,no egg,RAS,0
08/12/2023,14,6,0,beau,,Rémiel,,no egg,RAS,0
09/12/2023,9,6,18,pluie/vent,,Rémiel,,no egg,RAS,0
10/12/2023,14,15,1,pluie/éclaircies,,Rémiel,,no egg,RAS,0
11/12/2023,18,11,0,beau/couvert,,Rémiel,,no egg,RAS,0
12/12/2023,19,10,0,beau,,Rémiel,,no egg,RAS,0
13/12/2023,16,9,3,voilé/pluie,,Rémiel,,no egg,RAS,0
14/12/2023,10,7,20,averses/pluie/vent,,Rémiel,,no egg,RAS,0
15/12/2023,10,7,1,averses/éclaircies/vent,,Rémiel,,no egg,RAS,0
16/12/2023,9,7,1,bruine,,Rémiel,,no egg,RAS,0
17/12/2023,13,3,0,beau,,Rémiel,,no egg,RAS,0
18/12/2023,15,3,0,beau,-4°C ce matin,Rémiel,,no egg,RAS,0
19/12/2023,16,3,0,beau,gelée matinale,Rémiel,,no egg,RAS,0
20/12/2023,4,5,0,gris,,Rémiel,,no egg,RAS,0
21/12/2023,8,6,11,pluie/éclaircies/vent,,Rémiel,,no egg,RAS,0
22/12/2023,11,11,0,vent/bruine,,Rémiel,,no egg,RAS,0
23/12/2023,12,9,1,gris/vent/éclaircies/pluie,,Rémiel,,no egg,RAS,0
24/12/2023,12,9,0,éclaircies,,Rémiel,,no egg,RAS,0
25/12/2023,13,7,0,beau,,Rémiel,,no egg,RAS,0
26/12/2023,12,4,0,beau,,Rémiel,,no egg,RAS,0
27/12/2023,15,3,0,beau,,Rémiel,,no egg,RAS,0
28/12/2023,17,5,0,beau,grosse gelée matinale,Rémiel,,no egg,RAS,0
29/12/2023,10,4,0,gris,,Rémiel,,no egg,RAS,0
30/12/2023,9,7,0,gris/éclaircies,,Rémiel,,no egg,RAS,0
31/12/2023,17,7,0,beau,,Rémiel,,no egg,RAS,0
01/01/2023,,,,,,Saquiel,?,pondeuse incertaine,RAS,1
02/01/2023,,,,,,Saquiel,?,pondeuse incertaine,RAS,1
03/01/2023,,,,,,Saquiel,?,pondeuse incertaine,RAS,1
04/01/2023,15,,0,beau,,Saquiel,x,RAS,RAS,1
05/01/2023,14,,0,beau,,Saquiel,,no egg,RAS,0
06/01/2023,oubli,,0,beau,,Saquiel,,no egg,RAS,0
07/01/2023,13,,0,beau,,Saquiel,,no egg,RAS,0
08/01/2023,9,,0,mitigé,,Saquiel,,no egg,RAS,0
09/01/2023,8,,16,vent éclaircie,,Saquiel,,no egg,RAS,0
10/01/2023,14,,0,beau,,Saquiel,x,RAS,RAS,1
11/01/2023,9,,0,beau,,Saquiel,,no egg,RAS,0
12/01/2023,12,,0,beau,,Saquiel,x,RAS,RAS,1
13/01/2023,13,,0,mitigé,,Saquiel,,no egg,RAS,0
14/01/2023,13,,0,beau,,Saquiel,x,RAS,RAS,1
15/01/2023,10,,2,pluie/beau,,Saquiel,,no egg,RAS,0
16/01/2023,6,,50,pluie/vent,,Saquiel,x,RAS,RAS,1
17/01/2023,5,,1,pluie/vent,,Saquiel,,no egg,RAS,0
18/01/2023,5,,5,pluie/éclaircie,,Saquiel,x,RAS,RAS,1
19/01/2023,5,,,couvert/éclaircie,,Saquiel,,no egg,RAS,0
20/01/2023,5,,12,pluie/neige/soleil,,Saquiel,x,RAS,RAS,1
21/01/2023,2,,2,idem/vent,,Saquiel,,no egg,RAS,0
22/01/2023,0,,0,Couvert/vent,,Saquiel,x,RAS,RAS,1
23/01/2023,oubli,,,oubli,malade (moi),Saquiel,,no egg,RAS,0
24/01/2023,2,,,couvert/éclaircie,,Saquiel,x,RAS,RAS,1
25/01/2023,0,,,couvert,,Saquiel,,no egg,RAS,0
26/01/2023,0,,,couvert,,Saquiel,x,RAS,RAS,1
27/01/2023,0,,,,,Saquiel,x,RAS,RAS,1
28/01/2023,0,,,couvert,Cunégonde pique Shrek,Saquiel,x,RAS,RAS,1
29/01/2023,0,,,couvert,aliment poulette+vitamines,Saquiel,,no egg,RAS,0
30/01/2023,4,,,éclaircie,,Saquiel,x,RAS,RAS,1
31/01/2023,8,,0,beau temps,,Saquiel,,no egg,RAS,0
01/02/2023,10,,0,beau temps,pas sûre de l'œuf de Pioupioute,Saquiel,,no egg,RAS,0
02/02/2023,12,,0,beau temps,petit lait en boisson/aliment pondeuse,Saquiel,x,RAS,RAS,1
03/02/2023,12,,0,beau temps,petit lait+aliment,Saquiel,,no egg,RAS,0
04/02/2023,10,,0,beau temps,petit lait+aliment,Saquiel,x,RAS,RAS,1
05/02/2023,10,,0,beau temps,aliment,Saquiel,,no egg,RAS,0
06/02/2023,12,,0,beau temps,,Saquiel,,no egg,RAS,0
07/02/2023,8,,0,couvert/vent,,Saquiel,,no egg,RAS,0
08/02/2023,8,,0,beau/vent,,Saquiel,x,RAS,RAS,1
09/02/2023,10,,0,beau,,Saquiel,,no egg,RAS,0
10/02/2023,14,,0,beau,,Saquiel,,no egg,RAS,0
11/02/2023,14,,0,beau,aliment+blé,Saquiel,,no egg,RAS,0
12/02/2023,14,,0,beau,,Saquiel,,no egg,RAS,0
13/02/2023,15,,0,beau,,Saquiel,,no egg,RAS,0
14/02/2023,15,,0,beau,,Saquiel,,no egg,RAS,0
15/02/2023,16,,0,beau,,Saquiel,,no egg,RAS,0
16/02/2023,16,,0,beau,,Saquiel,x(cassé),cassé,RAS,1
17/02/2023,16,,0,beau,,Saquiel,,no egg,RAS,0
18/02/2023,18,,0,beau,avipar(vermifuge naturel),Saquiel,,no egg,RAS,0
19/02/2023,18,,0,beau,,Saquiel,,no egg,RAS,0
20/02/2023,20,,0,beau,antibio Pioupioute suspicion pb génital,Saquiel,,no egg,RAS,0
21/02/2023,15,,0,mitigé,,Saquiel,,no egg,RAS,0
22/02/2023,13,,0,couvert,,Saquiel,,no egg,RAS,0
23/02/2023,11,,4,couvert,"pluie nuit 22,à23/02",Saquiel,,no egg,RAS,0
24/02/2023,12,,"2,5",beau,"pluie nuit 23,à24/02",Saquiel,,no egg,RAS,0
25/02/2023,7,,0,couvert,,Saquiel,,no egg,RAS,0
26/02/2023,5,,0,vent/froid/couvert,,Saquiel,x(cassé),cassé,RAS,1
27/02/2023,1,,0,vent/neige/éclaircie,,Saquiel,x(cassé),cassé,RAS,1
28/02/2023,2,,0,éclaircie/vent,,Saquiel,,no egg,RAS,0
01/03/2023,8,,0,beau,,Saquiel,,no egg,RAS,0
02/03/2023,7,,0,couvert,,Saquiel,,no egg,RAS,0
03/03/2023,7,,0,couvert,,Saquiel,x(cassé),cassé,RAS,1
04/03/2023,10,,"1,5",éclaircie,,Saquiel,,no egg,RAS,0
05/03/2023,10,,0,éclaircie,,Saquiel,x(cassé),cassé,RAS,1
06/03/2023,10,,0,beau,,Saquiel,,no egg,RAS,0
07/03/2023,12,,0,éclaircie/averse,,Saquiel,,no egg,RAS,0
08/03/2023,23,,2,voilé,lentypou,Saquiel,x(cassé),cassé,RAS,1
09/03/2023,20,,0,éclaircies,qq gouttes dans la nuit,Saquiel,,no egg,RAS,0
10/03/2023,18,,"0,5",mitigé,,Saquiel,,no egg,RAS,0
11/03/2023,15,,0,mitigé/vent violent,,Saquiel,,no egg,RAS,0
12/03/2023,15,,"0,5",vent/pluie,17°C à 3h30 du mat,Saquiel,,no egg,RAS,0
13/03/2023,23,,4,bruine puis très beau,,Saquiel,x(cassé),cassé,RAS,1
14/03/2023,22,,14,beau/orage/tempête,pluie nuit du 13/03 au 14/03,Saquiel,,no egg,RAS,0
15/03/2023,12,,2,giboulées,,Saquiel,,no egg,RAS,0
16/03/2023,15,,5,pluie/éclaircie,,Saquiel,x(cassé),cassé,RAS,1
17/03/2023,19,,0,beau/vent,arrêt lentypou,Saquiel,,no egg,RAS,0
18/03/2023,18,,0,couvert/beau/vent,,Saquiel,,no egg,RAS,0
19/03/2023,16,,7,beau/pluie,,Saquiel,,no egg,RAS,0
20/03/2023,16,,"1,5",giboulées,pas sûr de l'œuf de Rémiel,Saquiel,,no egg,RAS,0
21/03/2023,17,,0,beau,,Saquiel,,no egg,RAS,0
22/03/2023,19,,0,beau,,Saquiel,,no egg,RAS,0
23/03/2023,22,,0,beau,,Saquiel,,no egg,RAS,0
24/03/2023,22,,0,beau,,Saquiel,x(cassé),cassé,RAS,1
25/03/2023,17,,1,beau puis bruine,Pioupioute à l'ENVT,Saquiel,,no egg,RAS,0
26/03/2023,19,,0,beau,trouvé un micro œuf,Saquiel,x(cassé),cassé,RAS,1
27/03/2023,9,,8,pluie/éclaircie/vent,tempête la nuit,Saquiel,,no egg,RAS,0
28/03/2023,10,,5,giboulées,,Saquiel,,no egg,RAS,0
29/03/2023,16,,0,beau,,Saquiel,x(cassé),cassé,RAS,1
30/03/2023,22,,0,beau,,Saquiel,x,RAS,RAS,1
31/03/2023,20,,0,beau,,Saquiel,,no egg,RAS,0
01/04/2023,12,,0,couvert/qq gouttes,"œuf d'Augustine trouvé dans le jardin, pas sûr du jour de ponte",Saquiel,x,RAS,RAS,1
02/04/2023,12,,3,couvert/vent/pluie,Augustine malade: amirudène 7J,Saquiel,x,RAS,RAS,1
03/04/2023,9,,15,pluie,,Saquiel,,no egg,RAS,0
04/04/2023,9,,3,pluie/éclaircie,Augustine DCD,Saquiel,,no egg,RAS,0
05/04/2023,15,,0,beau,aliment pondeuse,Saquiel,,no egg,RAS,0
06/04/2023,17,,0,beau,,Saquiel,,no egg,RAS,0
07/04/2023,13,,0,beau,,Saquiel,,no egg,RAS,0
08/04/2023,18,,0,beau,,Saquiel,x,RAS,RAS,1
09/04/2023,20,,0,beau,,Saquiel,,no egg,RAS,0
10/04/2023,24,,0,beau,,Saquiel,x(cassé),cassé,RAS,1
11/04/2023,19,,0,beau,,Saquiel,x(cassé),cassé,RAS,1
12/04/2023,16,,0,beau,,Saquiel,,no egg,RAS,0
13/04/2023,17,,5,beau/pluie,,Saquiel,,no egg,RAS,0
14/04/2023,8,,4,giboulées,,Saquiel,,no egg,RAS,0
15/04/2023,11,,3,giboulées,arrêt antibiotique Pioupioute/ponction à l'envt,Saquiel,,no egg,RAS,0
16/04/2023,13,,1,giboulées/éclaircies,Pioupioute a pondu un œuf normal/veut couver,Saquiel,x(cassé),cassé,RAS,1
17/04/2023,16,,0,beau,,Saquiel,x(cassé),cassé,RAS,1
18/04/2023,16,,0,beau,,Saquiel,,no egg,RAS,0
19/04/2023,17,,0,beau,,Saquiel,x(cassé),cassé,RAS,1
20/04/2023,22,,0,beau,,Saquiel,,no egg,RAS,0
21/04/2023,22,,0,beau,,Saquiel,,no egg,RAS,0
22/04/2023,22,,0,beau,,Saquiel,,no egg,RAS,0
23/04/2023,13,,0,couvert/bruine,15°C à 5h du mat,Saquiel,,no egg,RAS,0
24/04/2023,19,,7,beau/pluie,découverte d'une fibrine (?) dans le poulailler/mini œuf de Saquiel?,Saquiel,x?,pondeuse incertaine,RAS,1
25/04/2023,17,,0,beau,,Saquiel,,no egg,RAS,0
26/04/2023,15,,17,pluie,,Saquiel,,no egg,RAS,0
27/04/2023,18,,2,couvert,,Saquiel,,no egg,RAS,0
28/04/2023,23,,0,voilé/beau,,Saquiel,,no egg,RAS,0
29/04/2023,24,,0,voilé,,Saquiel,,no egg,RAS,0
30/04/2023,17,,0,couvert/pluie,œuf d'Albertine très clair,Saquiel,,no egg,RAS,0
01/05/2023,18,,36,giboulées,dont 29mm dans la nuit du 29 au 30/04,Saquiel,,no egg,RAS,0
02/05/2023,18,,2,giboulées/éclaircies,,Saquiel,,no egg,RAS,0
03/05/2023,20,,0,beau,,Saquiel,,no egg,RAS,0
04/05/2023,25,,0,beau,,Saquiel,,no egg,RAS,0
05/05/2023,25,,0,beau,,Saquiel,,no egg,RAS,0
06/05/2023,23,,0,beau,,Saquiel,,no egg,RAS,0
07/05/2023,24,,0,beau/orage,1 œuf trouvé dans le poulailler cassé,Saquiel,,no egg,RAS,0
08/05/2023,17,,8,averses,,Saquiel,,no egg,RAS,0
09/05/2023,22,,0,beau,,Saquiel,,no egg,RAS,0
10/05/2023,15,,15,couvert/pluie,,Saquiel,,no egg,RAS,0
11/05/2023,16,,2,pluie/giboulées,,Saquiel,,no egg,RAS,0
12/05/2023,15,,0,éclaircies,,Saquiel,,no egg,RAS,0
13/05/2023,17,,6,pluie/éclaircies,,Saquiel,,no egg,RAS,0
14/05/2023,13,,15,giboulées,,Saquiel,,no egg,RAS,0
15/05/2023,15,,10,"averses, éclaircies",,Saquiel,,no egg,RAS,0
16/05/2023,11,,6,averses,"petit trou dans certains œufs, à surveiller si poules ou pie",Saquiel,,no egg,RAS,0
17/05/2023,13,,2,pluie/éclaircie,,Saquiel,,no egg,RAS,0
18/05/2023,18,,0,beau,,Saquiel,,no egg,RAS,0
19/05/2023,14,,0,couvert,,Saquiel,,no egg,RAS,0
20/05/2023,10,,4,pluie/couvert,,Saquiel,,no egg,RAS,0
21/05/2023,15,,0,éclaircies/beau,,Saquiel,,no egg,RAS,0
22/05/2023,16,,0,couvert/beau,,Saquiel,,no egg,RAS,0
23/05/2023,18,,4,pluie/éclaircies,,Saquiel,,no egg,RAS,0
24/05/2023,22,,6,temps lourd/orages,,Saquiel,,no egg,RAS,0
25/05/2023,20,,25,lourd/orages,,Saquiel,,no egg,RAS,0
26/05/2023,17,,6,couvert/pluie,,Saquiel,,no egg,RAS,0
27/05/2023,23,,0,beau,,Saquiel,,no egg,RAS,0
28/05/2023,27,,0,beau,,Saquiel,,no egg,RAS,0
29/05/2023,27,,0,beau,,Saquiel,,no egg,RAS,0
30/05/2023,27,,24,beau/orage fort,,Saquiel,,no egg,RAS,0
31/05/2023,26,,0,éclaircies,,Saquiel,,no egg,RAS,0
01/06/2023,24,,5,beau/pluie,,Saquiel,,no egg,RAS,0
02/06/2023,22,,1,pluie/éclaircies,,Saquiel,,no egg,RAS,0
03/06/2023,23,,0,beau,,Saquiel,,no egg,RAS,0
04/06/2023,25,,2,beau/orage,changement de poulailler,Saquiel,,no egg,RAS,0
05/06/2023,26,,0,beau,,Saquiel,,no egg,RAS,0
06/06/2023,25,,5,beau/pluie,,Saquiel,,no egg,RAS,0
07/06/2023,26,,0,beau,,Saquiel,,no egg,RAS,0
08/06/2023,27,,0,beau,,Saquiel,,no egg,RAS,0
09/06/2023,27,,0,beau/orageux,,Saquiel,,no egg,RAS,0
10/06/2023,26,,3,couvert/orage,,Saquiel,,no egg,RAS,0
11/06/2023,27,,0,beau/orageux,,Saquiel,,no egg,RAS,0
12/06/2023,25,,1,beau/orage,,Saquiel,,no egg,RAS,0
13/06/2023,27,,31,couvert/orage,les 2 œufs ont été cassé par une poule ou une bête,Saquiel,,no egg,RAS,0
14/06/2023,24,,23,beau/orage,"l'œuf d'Albertine très fragile, elle a des vers en plus/ Avipar/Avipou",Saquiel,,no egg,RAS,0
15/06/2023,21,,3,pluie/éclaircie,,Saquiel,,no egg,RAS,0
16/06/2023,25,,0,couvert/beau,Saquiel malade/doxycycline,Saquiel,,no egg,RAS,0
17/06/2023,26,,0,beau,,Saquiel,,no egg,RAS,0
18/06/2023,30,,11,beau/orage,0 œuf,Saquiel,,no egg,RAS,0
19/06/2023,27,,0,mitigé/,,Saquiel,,no egg,RAS,0
20/06/2023,22,,0,couvert/beau,quelques gouttes,Saquiel,,no egg,RAS,0
21/06/2023,25,,0,lourd,œuf de Valérie très fragile trouvé ds poulailler,Saquiel,,no egg,RAS,0
22/06/2023,20,,7,orage,,Saquiel,,no egg,RAS,0
23/06/2023,23,,6,pluie/éclaircies,Cunégonde veut couver,Saquiel,,no egg,RAS,0
24/06/2023,28,,0,beau,,Saquiel,,no egg,RAS,0
25/06/2023,28,24,0,beau,,Saquiel,,no egg,RAS,0
26/06/2023,32,28,0,beau,,Saquiel,,no egg,RAS,0
27/06/2023,21,22,0,couvert,,Saquiel,,no egg,RAS,0
28/06/2023,27,24,0,nuageux,,Saquiel,,no egg,RAS,0
29/06/2023,26,24,0,beau,,Saquiel,,no egg,RAS,0
30/06/2023,24,22,13,nuageux/orage,,Saquiel,,no egg,RAS,0
01/07/2023,19,20,3,pluie/couvert/vent,8 œuf sous Cunégonde: 6marans+1valérie+1joséphine,Saquiel,mue,no egg,mue,0
02/07/2023,22,20,0,couvert/vent,1œuf valérie et 1oeuf Joséphine sous Cunégonde,Saquiel,,no egg,RAS,0
03/07/2023,25,22,0,éclaircies,1oeuf Albertine et un œuf Valérie donc 12 œufs sous Cunégonde,Saquiel,,no egg,RAS,0
04/07/2023,27,23,0,couvert/éclaircies,,Saquiel,,no egg,RAS,0
05/07/2023,26,24,1,lourd/orages,"Valérie tousse, avicoryl dans l'eau",Saquiel,,no egg,RAS,0
06/07/2023,27,24,0,éclaircies,,Saquiel,,no egg,RAS,0
07/07/2023,27,24,0,beau/lourd/orageux,,Saquiel,,no egg,RAS,0
08/07/2023,33,24,6,beau/orages,vit C dans l'eau+oligoélément,Saquiel,,no egg,RAS,0
09/07/2023,32,26,0,beau,,Saquiel,,no egg,RAS,0
10/07/2023,28,25,0,couvert/lourd,21°c et 80%H le matin,Saquiel,,no egg,RAS,0
11/07/2023,31,27,0,beau,"22°C et 82%H  matin, 27°c à 22h",Saquiel,,no egg,RAS,0
